field_name,semantic_path,page,input_type,pdf_field_type,alignment,multiline,read_only,font_size,max_length,rect_pdf_llx,rect_pdf_lly,rect_pdf_urx,rect_pdf_ury,tooltip,calculation
p2_labor_04_event_related,labor[3].event_related,2,boolean_mark,text,center,False,False,10,1,725.04,344.88,757.44,367.56,Labor row 4: Event Related (enter X for yes),
p2_labor_05_category,labor[4].category,2,text,text,center,False,False,7,30,50.76,320.04,105.12,342.72,Labor row 5: Category,
p2_labor_05_description,labor[4].description_of_work,2,text,text,left,True,False,6.5,500,107.28,320.04,381.24,342.72,Labor row 5: Description of Work Performed,
p2_labor_05_location,labor[4].work_location_gps,2,text,text,left,True,False,6.5,300,383.4,320.04,577.08,342.72,Labor row 5: Work Location / GPS Coordinates,
p2_labor_05_start_time,labor[4].start_time,2,text,text,center,False,False,7.5,8,579.24,320.04,625.68,342.72,Labor row 5: Start Time,
p2_labor_05_end_time,labor[4].end_time,2,text,text,center,False,False,7.5,8,627.84,320.04,674.28,342.72,Labor row 5: End Time,
p2_labor_05_labor_hours,labor[4].labor_hours,2,text,text,center,False,False,7.5,12,676.44,320.04,722.88,342.72,Labor row 5: Labor Hours,
p2_labor_05_event_related,labor[4].event_related,2,boolean_mark,text,center,False,False,10,1,725.04,320.04,757.44,342.72,Labor row 5: Event Related (enter X for yes),
p2_labor_06_category,labor[5].category,2,text,text,center,False,False,7,30,50.76,294.84,105.12,317.88,Labor row 6: Category,
p2_labor_06_description,labor[5].description_of_work,2,text,text,left,True,False,6.5,500,107.28,294.84,381.24,317.88,Labor row 6: Description of Work Performed,
p2_labor_06_location,labor[5].work_location_gps,2,text,text,left,True,False,6.5,300,383.4,294.84,577.08,317.88,Labor row 6: Work Location / GPS Coordinates,
p2_labor_06_start_time,labor[5].start_time,2,text,text,center,False,False,7.5,8,579.24,294.84,625.68,317.88,Labor row 6: Start Time,
p2_labor_06_end_time,labor[5].end_time,2,text,text,center,False,False,7.5,8,627.84,294.84,674.28,317.88,Labor row 6: End Time,
p2_labor_06_labor_hours,labor[5].labor_hours,2,text,text,center,False,False,7.5,12,676.44,294.84,722.88,317.88,Labor row 6: Labor Hours,
p2_labor_06_event_related,labor[5].event_related,2,boolean_mark,text,center,False,False,10,1,725.04,294.84,757.44,317.88,Labor row 6: Event Related (enter X for yes),
p2_labor_07_category,labor[6].category,2,text,text,center,False,False,7,30,50.76,270.0,105.12,292.68,Labor row 7: Category,
p2_labor_07_description,labor[6].description_of_work,2,text,text,left,True,False,6.5,500,107.28,270.0,381.24,292.68,Labor row 7: Description of Work Performed,
p2_labor_07_location,labor[6].work_location_gps,2,text,text,left,True,False,6.5,300,383.4,270.0,577.08,292.68,Labor row 7: Work Location / GPS Coordinates,
p2_labor_07_start_time,labor[6].start_time,2,text,text,center,False,False,7.5,8,579.24,270.0,625.68,292.68,Labor row 7: Start Time,
p2_labor_07_end_time,labor[6].end_time,2,text,text,center,False,False,7.5,8,627.84,270.0,674.28,292.68,Labor row 7: End Time,
p2_labor_07_labor_hours,labor[6].labor_hours,2,text,text,center,False,False,7.5,12,676.44,270.0,722.88,292.68,Labor row 7: Labor Hours,
p2_labor_07_event_related,labor[6].event_related,2,boolean_mark,text,center,False,False,10,1,725.04,270.0,757.44,292.68,Labor row 7: Event Related (enter X for yes),
p2_labor_08_category,labor[7].category,2,text,text,center,False,False,7,30,50.76,245.16,105.12,267.84,Labor row 8: Category,
p2_labor_08_description,labor[7].description_of_work,2,text,text,left,True,False,6.5,500,107.28,245.16,381.24,267.84,Labor row 8: Description of Work Performed,
p2_labor_08_location,labor[7].work_location_gps,2,text,text,left,True,False,6.5,300,383.4,245.16,577.08,267.84,Labor row 8: Work Location / GPS Coordinates,
p2_labor_08_start_time,labor[7].start_time,2,text,text,center,False,False,7.5,8,579.24,245.16,625.68,267.84,Labor row 8: Start Time,
p2_labor_08_end_time,labor[7].end_time,2,text,text,center,False,False,7.5,8,627.84,245.16,674.28,267.84,Labor row 8: End Time,
p2_labor_08_labor_hours,labor[7].labor_hours,2,text,text,center,False,False,7.5,12,676.44,245.16,722.88,267.84,Labor row 8: Labor Hours,
p2_labor_08_event_related,labor[7].event_related,2,boolean_mark,text,center,False,False,10,1,725.04,245.16,757.44,267.84,Labor row 8: Event Related (enter X for yes),
p2_labor_09_category,labor[8].category,2,text,text,center,False,False,7,30,50.76,220.32,105.12,243.0,Labor row 9: Category,
p2_labor_09_description,labor[8].description_of_work,2,text,text,left,True,False,6.5,500,107.28,220.32,381.24,243.0,Labor row 9: Description of Work Performed,
p2_labor_09_location,labor[8].work_location_gps,2,text,text,left,True,False,6.5,300,383.4,220.32,577.08,243.0,Labor row 9: Work Location / GPS Coordinates,
p2_labor_09_start_time,labor[8].start_time,2,text,text,center,False,False,7.5,8,579.24,220.32,625.68,243.0,Labor row 9: Start Time,
p2_labor_09_end_time,labor[8].end_time,2,text,text,center,False,False,7.5,8,627.84,220.32,674.28,243.0,Labor row 9: End Time,
p2_labor_09_labor_hours,labor[8].labor_hours,2,text,text,center,False,False,7.5,12,676.44,220.32,722.88,243.0,Labor row 9: Labor Hours,
p2_labor_09_event_related,labor[8].event_related,2,boolean_mark,text,center,False,False,10,1,725.04,220.32,757.44,243.0,Labor row 9: Event Related (enter X for yes),
p2_labor_10_category,labor[9].category,2,text,text,center,False,False,7,30,50.76,195.48,105.12,218.16,Labor row 10: Category,
p2_labor_10_description,labor[9].description_of_work,2,text,text,left,True,False,6.5,500,107.28,195.48,381.24,218.16,Labor row 10: Description of Work Performed,
p2_labor_10_location,labor[9].work_location_gps,2,text,text,left,True,False,6.5,300,383.4,195.48,577.08,218.16,Labor row 10: Work Location / GPS Coordinates,
p2_labor_10_start_time,labor[9].start_time,2,text,text,center,False,False,7.5,8,579.24,195.48,625.68,218.16,Labor row 10: Start Time,
p2_labor_10_end_time,labor[9].end_time,2,text,text,center,False,False,7.5,8,627.84,195.48,674.28,218.16,Labor row 10: End Time,
p2_labor_10_labor_hours,labor[9].labor_hours,2,text,text,center,False,False,7.5,12,676.44,195.48,722.88,218.16,Labor row 10: Labor Hours,
p2_labor_10_event_related,labor[9].event_related,2,boolean_mark,text,center,False,False,10,1,725.04,195.48,757.44,218.16,Labor row 10: Event Related (enter X for yes),
p2_labor_11_category,labor[10].category,2,text,text,center,False,False,7,30,50.76,170.28,105.12,193.32,Labor row 11: Category,
p2_labor_11_description,labor[10].description_of_work,2,text,text,left,True,False,6.5,500,107.28,170.28,381.24,193.32,Labor row 11: Description of Work Performed,
p2_labor_11_location,labor[10].work_location_gps,2,text,text,left,True,False,6.5,300,383.4,170.28,577.08,193.32,Labor row 11: Work Location / GPS Coordinates,
p2_labor_11_start_time,labor[10].start_time,2,text,text,center,False,False,7.5,8,579.24,170.28,625.68,193.32,Labor row 11: Start Time,
p2_labor_11_end_time,labor[10].end_time,2,text,text,center,False,False,7.5,8,627.84,170.28,674.28,193.32,Labor row 11: End Time,
p2_labor_11_labor_hours,labor[10].labor_hours,2,text,text,center,False,False,7.5,12,676.44,170.28,722.88,193.32,Labor row 11: Labor Hours,
p2_labor_11_event_related,labor[10].event_related,2,boolean_mark,text,center,False,False,10,1,725.04,170.28,757.44,193.32,Labor row 11: Event Related (enter X for yes),
p2_labor_12_category,labor[11].category,2,text,text,center,False,False,7,30,50.76,145.44,105.12,168.12,Labor row 12: Category,
p2_labor_12_description,labor[11].description_of_work,2,text,text,left,True,False,6.5,500,107.28,145.44,381.24,168.12,Labor row 12: Description of Work Performed,
p2_labor_12_location,labor[11].work_location_gps,2,text,text,left,True,False,6.5,300,383.4,145.44,577.08,168.12,Labor row 12: Work Location / GPS Coordinates,
p2_labor_12_start_time,labor[11].start_time,2,text,text,center,False,False,7.5,8,579.24,145.44,625.68,168.12,Labor row 12: Start Time,
p2_labor_12_end_time,labor[11].end_time,2,text,text,center,False,False,7.5,8,627.84,145.44,674.28,168.12,Labor row 12: End Time,
p2_labor_12_labor_hours,labor[11].labor_hours,2,text,text,center,False,False,7.5,12,676.44,145.44,722.88,168.12,Labor row 12: Labor Hours,
p2_labor_12_event_related,labor[11].event_related,2,boolean_mark,text,center,False,False,10,1,725.04,145.44,757.44,168.12,Labor row 12: Event Related (enter X for yes),
p2_labor_13_category,labor[12].category,2,text,text,center,False,False,7,30,50.76,120.6,105.12,143.28,Labor row 13: Category,
p2_labor_13_description,labor[12].description_of_work,2,text,text,left,True,False,6.5,500,107.28,120.6,381.24,143.28,Labor row 13: Description of Work Performed,
p2_labor_13_location,labor[12].work_location_gps,2,text,text,left,True,False,6.5,300,383.4,120.6,577.08,143.28,Labor row 13: Work Location / GPS Coordinates,
p2_labor_13_start_time,labor[12].start_time,2,text,text,center,False,False,7.5,8,579.24,120.6,625.68,143.28,Labor row 13: Start Time,
p2_labor_13_end_time,labor[12].end_time,2,text,text,center,False,False,7.5,8,627.84,120.6,674.28,143.28,Labor row 13: End Time,
p2_labor_13_labor_hours,labor[12].labor_hours,2,text,text,center,False,False,7.5,12,676.44,120.6,722.88,143.28,Labor row 13: Labor Hours,
p2_labor_13_event_related,labor[12].event_related,2,boolean_mark,text,center,False,False,10,1,725.04,120.6,757.44,143.28,Labor row 13: Event Related (enter X for yes),
p2_total_non_event_hours,labor_totals.non_event_hours,2,decimal,text,center,False,True,12,12,368.28,90.0,405.72,111.96,Total Non-Event Related Hours,sum labor_hours where event_related is false
p2_total_event_hours,labor_totals.event_hours,2,decimal,text,center,False,True,12,12,677.52,90.36,713.52,111.6,Total Event Related Hours,sum labor_hours where event_related is true
p2_employee_signature_text,certification.page2.employee_signature_text,2,signature_text,text,left,False,False,9,150,124.56,63.36,330.84,86.76,Employee Signature (typed),
